,img,stddev,low_freq_prop,lap_var,exception,suspect
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012036/M183101588LE_pyr.jpeg,51.41973,0.0348148195287816,13947.677908614958,Noise.,True
0,M183039311RE_pyr_0.jpg,32.00407205595693,0.028289794921875,1343.0848359307274,,False
1,M183039311RE_pyr_1.jpg,37.49420709328565,0.0288238525390625,1438.6332056289539,,False
2,M183039311RE_pyr_2.jpg,36.26277939845487,0.0119476318359375,1247.2075480818748,,False
3,M183039311RE_pyr_3.jpg,55.215113179269636,0.01422119140625,1056.25038318499,,False
4,M183039311RE_pyr_4.jpg,45.22046629446159,0.011962890625,1110.3664624502417,,False
5,M183039311RE_pyr_5.jpg,52.06671514699368,0.033721923828125,1147.741323694354,,False
6,M183039311RE_pyr_6.jpg,24.708741415223862,0.02874755859375,1008.4518127441406,,False
7,M183039311RE_pyr_7.jpg,26.61075389193072,0.037567138671875,955.9759385378566,,False
8,M183039311RE_pyr_8.jpg,29.767950379658537,0.064300537109375,983.9585359832272,,False
9,M183039311RE_pyr_9.jpg,46.20939081783697,0.059234619140625,1355.5490843111183,,False
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012036/M183098713RE_pyr.jpeg,41.84027,0.0037792602724344084,5265.152596408667,Noise.,True
0,M183039589RE_pyr_0.jpg,25.640131801104697,0.01171875,1225.0657957335934,,False
1,M183039589RE_pyr_1.jpg,32.85737728149416,0.01171875,1187.0976009347942,,False
2,M183039589RE_pyr_2.jpg,25.24467433759545,0.01171875,1168.952781012049,,False
3,M183039589RE_pyr_3.jpg,28.640898703481128,0.01171875,1148.0889728432521,,False
4,M183039589RE_pyr_4.jpg,34.584529453703226,0.0118865966796875,1191.8710633181036,,False
5,M183039589RE_pyr_5.jpg,32.81455104840275,0.011749267578125,1102.9912235380616,,False
6,M183039589RE_pyr_6.jpg,34.00863412656085,0.0118560791015625,1439.9848397932947,,False
7,M183039589RE_pyr_7.jpg,39.22680791238859,0.0119781494140625,1762.8665506532416,,False
8,M183039589RE_pyr_8.jpg,34.52148409671797,0.0120849609375,1313.8982519507408,,False
9,M183039589RE_pyr_9.jpg,37.22288564777042,0.05780029296875,1073.5796016594395,,False
0,M183039536LE_pyr_0.jpg,34.273058483326615,0.01409912109375,1816.3662007665262,,False
1,M183039536LE_pyr_1.jpg,39.3746939415901,0.03302001953125,2033.2963647982106,,False
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012036/M183098740ME_pyr.jpeg,49.97253,0.01480926029265873,44453.77161475941,Noise.,True
0,M183039536RE_pyr_0.jpg,42.32055022366916,0.0163116455078125,1315.022486298345,,False
1,M183039536RE_pyr_1.jpg,30.398510846054048,0.03924560546875,1360.8269753509667,,False
